RowCount,Singer,Language,Song,Word
1,Selena Gomez,English,Dance Again,I
1,Selena Gomez,English,Dance Again,Do
1,Selena Gomez,English,Dance Again,It
1,Selena Gomez,English,Dance Again,Mm-mm
1,Selena Gomez,English,Dance Again,Ah-ah
1,Selena Gomez,English,Dance Again,It's
1,Selena Gomez,English,Dance Again,Like
1,Selena Gomez,English,Dance Again,I'm
1,Selena Gomez,English,Dance Again,Ten
1,Selena Gomez,English,Dance Again,Feet
1,Selena Gomez,English,Dance Again,Tall
1,Selena Gomez,English,Dance Again,I'm
1,Selena Gomez,English,Dance Again,High
1,Selena Gomez,English,Dance Again,Off
1,Selena Gomez,English,Dance Again,The
1,Selena Gomez,English,Dance Again,Weight
1,Selena Gomez,English,Dance Again,Of
1,Selena Gomez,English,Dance Again,Them
1,Selena Gomez,English,Dance Again,Shoulders
1,Selena Gomez,English,Dance Again,Mm-mm
1,Selena Gomez,English,Dance Again,Ah-ah
1,Selena Gomez,English,Dance Again,I
1,Selena Gomez,English,Dance Again,Kick-start
1,Selena Gomez,English,Dance Again,The
1,Selena Gomez,English,Dance Again,Rhythm
1,Selena Gomez,English,Dance Again,All
1,Selena Gomez,English,Dance Again,The
1,Selena Gomez,English,Dance Again,Trauma's
1,Selena Gomez,English,Dance Again,In
1,Selena Gomez,English,Dance Again,Remission
1,Selena Gomez,English,Dance Again,No
1,Selena Gomez,English,Dance Again,I
1,Selena Gomez,English,Dance Again,Don't
1,Selena Gomez,English,Dance Again,Need
1,Selena Gomez,English,Dance Again,Permission
1,Selena Gomez,English,Dance Again,I
1,Selena Gomez,English,Dance Again,Kick-start
1,Selena Gomez,English,Dance Again,My
1,Selena Gomez,English,Dance Again,System
1,Selena Gomez,English,Dance Again,When
1,Selena Gomez,English,Dance Again,I
1,Selena Gomez,English,Dance Again,Speak
1,Selena Gomez,English,Dance Again,My
1,Selena Gomez,English,Dance Again,Body
1,Selena Gomez,English,Dance Again,Listens
1,Selena Gomez,English,Dance Again,I
1,Selena Gomez,English,Dance Again,Know
1,Selena Gomez,English,Dance Again,What
1,Selena Gomez,English,Dance Again,I'm
1,Selena Gomez,English,Dance Again,Missing
1,Selena Gomez,English,Dance Again,Feels
1,Selena Gomez,English,Dance Again,So
1,Selena Gomez,English,Dance Again,Feels
1,Selena Gomez,English,Dance Again,So
1,Selena Gomez,English,Dance Again,Feels
1,Selena Gomez,English,Dance Again,So
1,Selena Gomez,English,Dance Again,Good
1,Selena Gomez,English,Dance Again,To
1,Selena Gomez,English,Dance Again,Dance
1,Selena Gomez,English,Dance Again,Again
1,Selena Gomez,English,Dance Again,Feels
1,Selena Gomez,English,Dance Again,So
1,Selena Gomez,English,Dance Again,Feels
1,Selena Gomez,English,Dance Again,So
1,Selena Gomez,English,Dance Again,Feels
1,Selena Gomez,English,Dance Again,So
1,Selena Gomez,English,Dance Again,Good
1,Selena Gomez,English,Dance Again,To
1,Selena Gomez,English,Dance Again,Dance
1,Selena Gomez,English,Dance Again,Again
1,Selena Gomez,English,Dance Again,With
1,Selena Gomez,English,Dance Again,My
1,Selena Gomez,English,Dance Again,Emotions
1,Selena Gomez,English,Dance Again,Undressed
1,Selena Gomez,English,Dance Again,I'm
1,Selena Gomez,English,Dance Again,Going
1,Selena Gomez,English,Dance Again,In
1,Selena Gomez,English,Dance Again,With
1,Selena Gomez,English,Dance Again,Everything
1,Selena Gomez,English,Dance Again,To
1,Selena Gomez,English,Dance Again,Dance
1,Selena Gomez,English,Dance Again,Again
1,Selena Gomez,English,Dance Again,Feels
1,Selena Gomez,English,Dance Again,So
1,Selena Gomez,English,Dance Again,Feels
1,Selena Gomez,English,Dance Again,So
1,Selena Gomez,English,Dance Again,Feels
1,Selena Gomez,English,Dance Again,So
1,Selena Gomez,English,Dance Again,Good
1,Selena Gomez,English,Dance Again,Ooh
1,Selena Gomez,English,Dance Again,I'm
1,Selena Gomez,English,Dance Again,Feeling
1,Selena Gomez,English,Dance Again,Ooh
1,Selena Gomez,English,Dance Again,Me
1,Selena Gomez,English,Dance Again,Again
1,Selena Gomez,English,Dance Again,Ooh
1,Selena Gomez,English,Dance Again,Feels
1,Selena Gomez,English,Dance Again,So
1,Selena Gomez,English,Dance Again,Good
1,Selena Gomez,English,Dance Again,To
1,Selena Gomez,English,Dance Again,Dance
1,Selena Gomez,English,Dance Again,Again
1,Selena Gomez,English,Dance Again,Feels
1,Selena Gomez,English,Dance Again,So
1,Selena Gomez,English,Dance Again,Feels
1,Selena Gomez,English,Dance Again,So
1,Selena Gomez,English,Dance Again,Feels
1,Selena Gomez,English,Dance Again,So
1,Selena Gomez,English,Dance Again,Good
1,Selena Gomez,English,Dance Again,Happiness
1,Selena Gomez,English,Dance Again,Ain't
1,Selena Gomez,English,Dance Again,Something
1,Selena Gomez,English,Dance Again,You
1,Selena Gomez,English,Dance Again,Sit
1,Selena Gomez,English,Dance Again,Back
1,Selena Gomez,English,Dance Again,And
1,Selena Gomez,English,Dance Again,You
1,Selena Gomez,English,Dance Again,Wait
1,Selena Gomez,English,Dance Again,For
1,Selena Gomez,English,Dance Again,Feels
1,Selena Gomez,English,Dance Again,So
1,Selena Gomez,English,Dance Again,Feels
1,Selena Gomez,English,Dance Again,So
1,Selena Gomez,English,Dance Again,Feels
1,Selena Gomez,English,Dance Again,So
1,Selena Gomez,English,Dance Again,Good
1,Selena Gomez,English,Dance Again,To
1,Selena Gomez,English,Dance Again,Dance
1,Selena Gomez,English,Dance Again,Again
1,Selena Gomez,English,Dance Again,Feels
1,Selena Gomez,English,Dance Again,So
1,Selena Gomez,English,Dance Again,Feels
1,Selena Gomez,English,Dance Again,So
1,Selena Gomez,English,Dance Again,Feels
1,Selena Gomez,English,Dance Again,So
1,Selena Gomez,English,Dance Again,Good
1,Selena Gomez,English,Dance Again,To
1,Selena Gomez,English,Dance Again,Dance
1,Selena Gomez,English,Dance Again,Again
1,Selena Gomez,English,Dance Again,With
1,Selena Gomez,English,Dance Again,My
1,Selena Gomez,English,Dance Again,Emotions
1,Selena Gomez,English,Dance Again,Undressed
1,Selena Gomez,English,Dance Again,I'm
1,Selena Gomez,English,Dance Again,Going
1,Selena Gomez,English,Dance Again,In
1,Selena Gomez,English,Dance Again,Going
1,Selena Gomez,English,Dance Again,In
1,Selena Gomez,English,Dance Again,With
1,Selena Gomez,English,Dance Again,Everything
1,Selena Gomez,English,Dance Again,Everything
1,Selena Gomez,English,Dance Again,To
1,Selena Gomez,English,Dance Again,Dance
1,Selena Gomez,English,Dance Again,Again
1,Selena Gomez,English,Dance Again,Feels
1,Selena Gomez,English,Dance Again,So
1,Selena Gomez,English,Dance Again,Feels
1,Selena Gomez,English,Dance Again,So
1,Selena Gomez,English,Dance Again,Feels
1,Selena Gomez,English,Dance Again,So
1,Selena Gomez,English,Dance Again,Good
1,Selena Gomez,English,Dance Again,I
1,Selena Gomez,English,Dance Again,Kick-start
1,Selena Gomez,English,Dance Again,The
1,Selena Gomez,English,Dance Again,Rhythm
1,Selena Gomez,English,Dance Again,Ooh
1,Selena Gomez,English,Dance Again,All
1,Selena Gomez,English,Dance Again,The
1,Selena Gomez,English,Dance Again,Trauma's
1,Selena Gomez,English,Dance Again,In
1,Selena Gomez,English,Dance Again,Remission
1,Selena Gomez,English,Dance Again,Ooh
